show_id,type,title,director,country,release_year,rating,duration,genre
s001,Movie,Final Echo 3,L. Martin,France,2012,TV-MA,110 min,Romance
s002,Movie,Electric Dreams 1,J. Smith,United States,2011,TV-14,1 Season,Comedy
s003,Movie,Cold Frontier 4,D. Brown,Japan,2024,TV-14,1 Season,Action
s004,TV Show,Midnight Train 1,A. Sharma,Spain,2018,R,2 Seasons,Comedy
s005,TV Show,Lost Kingdom 2,D. Brown,Germany,2010,R,110 min,Documentary
s006,TV Show,Fading Light 5,J. Smith,Canada,2022,TV-MA,2 Seasons,Horror
s007,Movie,Cold Frontier 1,R. Tanaka,India,2010,PG-13,110 min,Comedy
s008,Movie,Crimson Road 5,D. Brown,Australia,2019,PG,3 Seasons,Thriller
s009,Movie,Dark Streets 4,L. Martin,South Korea,2024,PG-13,110 min,Thriller
s010,Movie,Burning Sky 5,R. Tanaka,Canada,2009,TV-14,100 min,Sci-Fi
s011,TV Show,Final Echo 3,K. Lee,South Korea,2023,TV-14,3 Seasons,Documentary
s012,TV Show,Hidden City 4,A. Sharma,Japan,2008,PG-13,100 min,Drama
s013,TV Show,Last Horizon 5,S. Garcia,United Kingdom,2014,TV-14,2 Seasons,Action
s014,Movie,Shadow Games 1,J. Smith,Australia,2020,TV-14,110 min,Documentary
s015,TV Show,Shadow Games 3,K. Lee,United States,2009,PG,3 Seasons,Documentary
s016,TV Show,Golden Empire 3,L. Martin,United States,2015,TV-14,2 Seasons,Drama
s017,TV Show,Cold Frontier 2,L. Martin,United States,2017,PG,2 Seasons,Action
s018,Movie,Ocean Depths 4,R. Tanaka,United Kingdom,2011,PG,100 min,Drama
s019,TV Show,Shadow Games 2,R. Tanaka,United States,2022,TV-MA,110 min,Romance
s020,Movie,Final Echo 4,K. Lee,India,2024,TV-14,3 Seasons,Horror
s021,TV Show,Golden Empire 5,D. Brown,India,2021,R,110 min,Sci-Fi
s022,TV Show,Dark Streets 4,A. Sharma,United Kingdom,2014,PG,2 Seasons,Sci-Fi
s023,TV Show,Ocean Depths 2,K. Lee,Spain,2016,R,3 Seasons,Comedy
s024,Movie,Winter Lake 1,L. Martin,Australia,2009,PG-13,3 Seasons,Thriller
s025,Movie,Fading Light 2,M. Dubois,Japan,2020,R,110 min,Documentary
s026,TV Show,Hidden City 4,K. Lee,Australia,2023,PG-13,2 Seasons,Horror
s027,TV Show,Shadow Games 4,A. Sharma,Canada,2006,PG-13,110 min,Comedy
s028,TV Show,Electric Dreams 3,J. Smith,France,2016,R,1 Season,Thriller
s029,TV Show,Dark Streets 5,R. Tanaka,Japan,2012,PG-13,90 min,Horror
s030,Movie,Dark Streets 3,D. Brown,Spain,2006,PG,2 Seasons,Sci-Fi
s031,Movie,Final Echo 1,K. Lee,France,2021,R,2 Seasons,Documentary
s032,TV Show,Fading Light 4,R. Tanaka,Australia,2007,TV-MA,3 Seasons,Thriller
s033,TV Show,Midnight Train 2,S. Garcia,France,2021,PG,2 Seasons,Thriller
s034,Movie,Last Horizon 1,K. Lee,France,2016,TV-MA,3 Seasons,Romance
s035,Movie,Fading Light 3,D. Brown,France,2012,PG-13,1 Season,Documentary
s036,Movie,Final Echo 1,K. Lee,South Korea,2006,R,1 Season,Sci-Fi
s037,TV Show,Burning Sky 4,S. Garcia,France,2015,TV-MA,3 Seasons,Documentary
s038,Movie,Electric Dreams 2,R. Tanaka,Japan,2024,TV-14,1 Season,Drama
s039,TV Show,Ocean Depths 4,D. Brown,Germany,2005,PG-13,1 Season,Horror
s040,TV Show,Parallel Worlds 1,J. Smith,France,2006,R,100 min,Drama
s041,TV Show,Dark Streets 5,J. Smith,Japan,2018,TV-14,1 Season,Drama
s042,Movie,Dark Streets 4,M. Dubois,France,2024,PG,90 min,Documentary
s043,TV Show,Golden Empire 4,S. Garcia,Australia,2009,TV-14,3 Seasons,Comedy
s044,TV Show,Silent Code 3,K. Lee,France,2011,PG,100 min,Thriller
s045,TV Show,Cold Frontier 3,A. Sharma,South Korea,2017,PG,2 Seasons,Drama
s046,Movie,Silent Code 2,S. Garcia,Japan,2005,PG-13,1 Season,Romance
s047,Movie,Burning Sky 5,J. Smith,Japan,2016,PG-13,1 Season,Romance
s048,TV Show,Dark Streets 3,J. Smith,Australia,2021,R,3 Seasons,Romance
s049,TV Show,Winter Lake 4,D. Brown,Germany,2020,PG-13,100 min,Drama
s050,TV Show,Hidden City 3,A. Sharma,Japan,2013,PG-13,2 Seasons,Horror
